category,text
true,r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous.
true,paul walker mourned by vin diesel and more 'fast & furious' co-stars URL #rippaulwalker URL
true,"""fast & furious"" stars heartbreakingly mourn paul walker's death URL URL"
true,#rip to the driver who died with #paulwalker that no one cares about because he wasn't famous.
true,"celebrities, friends and co-stars react to paul walker's tragic death. #rippaulwalker URL URL"
true,r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous
true,"last picture of paul walker taken before his death in a car crash.#rippaulwalker fast & furious won't be same w/o u. URL """
true,"r.i.p. roger rodas, the ceo/racer who died with paul walker yesterday. he was originally from santa ana, el salvador."
true,paul walker's genuinely admirable history of organizing & participating in international disaster relief missions: URL
true,still cah believe paul walker died r.i.p paul walker r.i.p brian o'connor r.i.p fast & furious URL
true,"the last photo of paul walker, taken just before the crash that killed him. rip URL"
true,new info on the crash that killed paul walker URL #rippaulwalker
true,r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous.
true,did speed play a part in paul walker's death? URL
true,paul walker's co-stars take to twitter to share their condolences following his death URL #rippaulwalker #teampw
true,the motoring world responds to paul walker's death URL URL
true,"fan of ""fast & furious"" actor paul walker shocked by his death as memorial grows URL URL"
true,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL"
true,"my heart goes out to loved ones and fans of paul walker, who died in a car wreck saturday. word is he was a really good dude. #rippaulwalker"
true,so paul walker is still alive ? dead or alive sia ?! #paulwalker URL
true,"""paul walker's character in fast and the furious was named ""brian"",brian from family guy also died this week,both deaths involved cars."" umm"
true,paul walker remembered: celebs react to 'fast and furious' star's death URL
true,rip roger rodas the man who died with paul walker in the fatal car crash #dontforgethim URL
true,r.i.p paul walker ♥ he died doing what he loved♥ URL
true,im still on that paul walker situation i can't believe he died especially in a car.
true,hard to believe paul walker died yesterday. no more fast & furious. way too young. #rip URL
true,"ap video: police say speed was a factor in an l.a. crash that killed 2, including ""fast & furious"" actor paul walker: URL"
true,remembering paul walker: URL URL
true,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL"
true,paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence? i think not
true,"prayers to our friend, tyrese. his emotional message about paul walker got us choked up... URL"
true,2013 was doing alright till i found out paul walker died ..
true,r.i.p roger rodas the man who died with paul walker that everybody forgot about.. #rippaulwalker #riprogerrodas URL
true,the sudden & tragic death of #paulwalker reminds us that we shouldn't take even a moment for granted bc it can be over in a blink #sosad
true,r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous
true,r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous.
true,r.i.p to roger rodas who died alongside paul walker URL
true,we send our deepest condolences to the family and friends of paul walker and roger rodas. URL URL
true,r.i.p rodger rodas the guy no one seems to care about because he's not famous (died with paul walker) URL
true,r.i.p roger rodas the man who died with paul walker that everybody forgot about.. #rippaulwalker #riprogerrodas URL
true,paul walker was doing good and giving back on the day of his tragic death: URL
true,'fast and furious' cast mourns paul walker's death URL
true,r.i.p paul walker.... he died doing what he loved... and that's going fast. URL
true,"fast and furious star paul walker dead in car crash. what next, samuel l jackson killed by snakes on a plane?"
true,"paul walker's death keeps getting more ironic... the driver, roger rodas, was a former racecar driver #rip URL"
true,"rip roger rodas, the man who died with paul walker. #rippaulwalker #riprogerrodas URL"
true,"r.i.p. to roger rodas, the guy that died with paul walker. he's human too URL"
true,paul walker's death: 'fast & furious 7' delayed but won't be scrapped URL
true,his movies brought thrills and laughter to millions. can't believe he died in car crash rip paul walker URL
true,"paul walker died too fast, i'm furious.. :/"
true,r.i.p to the driver who died with paul walker that no one cares about because he wasn't famous.
true,the five movie roles that made us fall in love with paul walker URL #rippaulwalker URL
true,paul walker's last pic before his death in car accident :'( #rip #paulwalker URL
true,"also, rip roger rodas the man who died along with paul walker that seems to never be mentioned URL"
true,r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous.
true,@realpaulwalker died in a fiery car crash. @fastfurious filmmakers will commemorate his legacy by dedicating the next six sequels to him.
true,i can't belive people are comparing paul walker's death to brian from family guy. shows how stupid and ignorant people are.
true,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL"
true,fast & furious 7 might still come out even after paul walker's death URL
true,"tyrese at the crash site, where paul walker died, i proper feel for him URL"
true,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL"
true,this is the driver that died in the accident with paul walker. don't forget about him just because he's not famous. URL
true,"paul walker was ""so happy"" hours before his tragic death URL"
true,late actor paul walker's admirable history of organizing & participating in international disaster relief missions: URL
true,rip to the driver roger that died with paul walker that no one talks about because he wasn't famous. URL
true,watch: paul walker's last trailer for the film hours. the movie is set to release in two weeks. URL
true,tmz posted this two days before paul walker died ..... #illuminati URL
true,paul walker's death brought out the worst in some twitter users. i compiled the stupidity for @vice URL
true,fast & furious franchise responds to paul walker's death: URL URL
true,rip to the driver who was also killed along with paul walker who no one seems to care about... URL
true,"r.i.p paul walker, why are people making jokes about his death? not funny at all!"
true,"in the wake of paul walker's tragic death, what's the future of the @fastfurious movies? URL #rippaulwalker"
true,ex-marlboro man dies from smoking-related disease... URL
true,actor who portrayed marlboro man in cigarette ads in late 1970s dies from smoking-related disease: URL
true,ex-marlboro man dies from smoking -related disease URL via @fox411
true,actor eric lawson who portrayed the marlboro man dies from chronic obstructive pulmonary disease: URL
true,man who portrayed the marlboro man in the 1970s dies from smoking-related disease URL
true,"eric lawson, former 'marlboro man' in cigarette ads dies of smoking-related disease URL URL"
true,actor who played marlboro man in ads dies from smoking-related disease URL
true,marlboro ad man eric lawson dies of chronic lung disease URL @guardianworld
true,ex-marlboro man dies from smoking-related disease - URL
true,marlboro man dies of smoking-related disease URL URL
true,actor who played marlboro man in ads dies from smoking-related disease URL
true,ex-marlboro man dies from smoking-related disease URL
false,#obamacare will soon require you to get an rfid chip implanted into your skin to monitor and track you.
false,"what if talking angela is actually boris laursen he be like ""i just stole all your personal information what are you going to do about it"""
false,talking angela is an app that has been hacked and asks for you personal information. spread the word URL
false,"""talking angela gets ur personal info"" ""he's a kidnapper"" ""he watches u through ur camera"" URL"
false,omfg read this its my personal experience with talking angela URL
true,not good for fancy #swiss #brand @nestle : philly steak & cheese @hotpockets linked to massive #beef #recall URL #food
false,"""talking angela gets ur personal info"" ""he's a kidnapper"" ""he watches u through ur camera"" URL"
true,"hot pockets recall involves meat from place fda says ""processed diseased and unsound animals. URL URL"
true,nestlé usa has issued a recall of hot pockets. see the varieties affected: URL
false,"*reads things about talking angela* ""talking angela gets ur personal info"" ""talking angela can access all ur photos"" URL"
false,"""talking angela is a hacker"" ""he's a kidnapper"" ""he watches u through ur camera"" ""he asks about ur personal life"" URL"
true,#prayforchristopher please rt/fav this it means u care and maybe chris brown will see this and will see that we care and smiles again
false,"""@dangerburgundy: @joerogan what...successful clone of dinosaurs URL "" holy shit, is that real?"
false,why is my grandpa tryin to tell me leonardo dicapro is gonna play martin luther king in a movie.. lol!
false,where is michelle obama’s hashtag for meriam ibrahim? she’s pregnant and sentenced to die URL URL
false,religious subjugation? u.s. troops in bahrain getting ramadan training. URL #tcot
false,breaking: malaysian airlines passenger 'shot down' near russian border in ukraine URL URL
false,breaking: malaysia airlines passenger 'shot down' near russian border in ukraine URL URL
false,breaking: malaysian airlines passenger 'shot down' near russian border in ukraine URL URL
false,breaking: malaysia airlines plane 'shot down' was carrying 295 people URL URL
false,breaking: malaysia airlines plane 'shot down' travelling from amsterdam to kuala lumpur URL URL
false,ukrainian minister says rebels shot down #mh17 malaysia airlines plane URL URL
false,malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL
false,malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL
false,malaysia airlines says it lost contact with plane that was flying in ukrainian airspace URL URL
false,latest so far on shot down malaysia airlines plane #mh17 URL URL
false,"#mh17 was shot down by ""terrorists,"" an advisor to ukraine’s minister of internal affairs says URL URL"
false,first photo from the malaysia airlines crash site in ukraine. via @reuters URL #mh17 URL
false,#mh17 is believed shot down with old soviet-built buk surface-to-air missile system. URL URL
false,reported photographs from malaysia airlines #mh17 crash: URL URL
false,เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL
false,this is the surface-to-air missile ukraine says shot down malaysia airlines plane URL URL
false,could a buk surface-to-air missile system have brought down malaysia airlines flight 17? URL #mh17 URL
false,first pics from the site in ukraine where #mh17 crashed URL URL
false,'nine britons and 80 children' feared dead after flight #mh17 'shot down' URL URL
false,"'nine britons, 23 us citizens and 80 children' feared dead after #mh17 jet 'shot down' URL URL"
false,authorities collecting passports at #mh17 crash site. australian coat of arms clearly visible. URL URL
false,"pro-russian rebel leader in leaked audio: ""cossacks"" shot down the plane URL #mh17 URL"
false,"latest: malaysia airlines #mh17 shot down by a surface-to-air missile, u.s. officials say URL URL"
false,new. leaked phone call between rebel leader & russian intel agent: “cossacks” shot down #mh17. URL URL
false,.@vp biden: malaysia airlines #mh17 was 'shot down not an accident. blown out of the sky.' URL
false,malaysia airlines executive releases partial list of passengers' nationalities: URL URL #mh17
false,update: rebel leader in recorded call: we just shot down a plane (english subtitles) URL #mh17 URL
false,here's the passenger breakdown by nationality: URL #mh17 URL
false,current passenger breakdown by nationality - via @theage @smh #mh17 URL URL
false,ukraine officials say malaysian jet was shot down by a buk missile system URL #mh17 URL
false,a memorial for #mh17 victims forms near the netherlands embassy in kiev: URL (roman pilipey/epa) URL
false,ukraine officials say malaysia plane #mh17 was shot down by a buk missile system URL URL
false,the fact that malaysia airlines #mh17 was shot down may hinder insurance payouts URL URL
false,u.s intel: missile that hit #mh17 was most likely fired by pro-russian separatists. details: URL URL
false,who shot down the plane? where are the black boxes? 8 unanswered questions from #mh17: URL URL
false,"ukrainian military jet was flying close to #mh17 before it was shot down, says russian officer URL URL"
false,"a russian officer ""pushed that button deliberately"" & shot down #mh17, ukrainian gov. says: URL URL"
true,"tesla says it's broken ground near reno, nevada for a $5 billion battery plant: URL URL"
false,"#riphulkhogan. you lifted weights, but you also lifted my heart."
false,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.
false,"bird pooped on #putin when he was saying ""violence begets violence"" at the opening of monument to the 1st world war. URL"
false,"""justin bieber ringtone saves russian fisherman from potentially fatal bear attack."""
false,#breaking: justin bieber thwarts bear attack!! URL URL
unverified,"mike brown was staying with his grandmother for the summer, who lived in the community. #ferguson"
unverified,line of police cars with high beams on greets anyone trying to enter #ferguson. it's shut down. no media allowed. URL
unverified,"currently the #foxnews website has zero, repeat, zero coverage of the #ferguson protests, probably due to lack of cowboy hats."
unverified,st. louis co police tell me ofcr shot a man who pointed handgun at him at chambers & sheffingdell at about 1 a.m. man in critical. #ferguson
unverified,a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL
unverified,"nearly 7k blacks were murdered last yr--almost all by other blacks. a tiny % were unarmed-killed-by-cop. where's al, jesse? #tcot #ferguson"
true,confirmed: #mikebrown had no criminal record. URL #ferguson URL
true,confirmed: this is irrelevant. rt @ksdknews: confirmed: #mikebrown had no criminal record. URL #ferguson
unverified,"name of #ferguson cop is expected to be released by 9 et, police chief says: URL (j.b. forbes, ap) URL"
unverified,police in #ferguson plan to release name of officer who shot unarmed teen michael brown: URL URL
unverified,urgent: darren wilson is the police officer who shot mike brown URL #ferguson URL
true,"ferguson police chief: officer involved in shooting of michael brown was darren wilson, a 6-year veteran with no disciplinary record"
unverified,"question for #ferguson police chief? if officer darren wilson was in pursuit of a robbery suspect, why tell kids to get out of the road? lie"
unverified,"that was very ""slick"" of the police chief to create a narrative that #mikebrown was a ""suspect"" in a robbery! #ferguson"
unverified,darren wilson is a six year veteran of the #ferguson police and had no disciplinary actions against him.
unverified,"police reports released this morning indicate mike brown was a suspect in a ""strong-armed"" robbery in #ferguson"
unverified,#mikebrown wanted to walk down the street. and he is dead. and the #ferguson pd is using his silence in death to make him a criminal.
unverified,"breaking news: according to documents released to the press, #mikebrown was connected to an earlier robbery #ferguson URL"
unverified,if there is surveillance of a robbery why release stills and not the video itself? #ferguson
unverified,update: #ferguson police release stills from convenience store footage showing robbery URL URL
unverified,did anyone think of comparing the clothes that #mikebrown was wearing when he was laying on the street to the security footage? #ferguson
unverified,here's the police report. somehow #ferguson cops valued a box of swishers at nearly $50. time to stop smokin i guess URL
unverified,photos of alleged robbery involving michael brown in #ferguson (via police) URL URL
unverified,the other day i asked a manager at the #ferguson market if police had requested surveillance video. she said no.
unverified,shoot unarmed kid. conceal evidence. impose martial law. harass reporters. smear the victim. worst. police. ever. #ferguson #mikebrown
unverified,"reminder: forget the robbery, forget the minor looting. nothing justifies militarized police pointing sniper rifles at journalists #ferguson"
unverified,it appears that #ferguson pd are trying to assassinate mike brown's character after literally assassinating mike brown.
unverified,"possible ""robbery"" took place and bam! like magic it's as if another unarmed black youth being murdered has been forgotten #smh #ferguson"
unverified,"if we shot everyone in the street for stealing, imagine the carnage on wall st. #mikebrown #ferguson"
unverified,"the day #ferguson cops told a dirty, bloody lie (via @thedailybeast): URL URL"
unverified,"all weekend ppl will be talking about the ""robbery"" instead of the shooting bc #ferguson pd didn't release any info about the shooting."
unverified,how many white celebrities have been caught shoplifting and end up dead in streets? i'll wait. #ferguson
unverified,"if you can justify shooting an unarmed teenager by saying ""he might have been committing a misdemeanor"" you are a fucking asshole. #ferguson"
unverified,"hobby lobby asks #ferguson pd for clarification: ""we thought chopping off someone's hand was the maximum penalty for shoplifting"""
unverified,new link: #ferguson police release video they say shows a robbery involving #michaelbrown: URL URL
unverified,"in 2009, #ferguson police beat a man and charged him for bleeding on them: URL"
unverified,the #ferguson police chief just basically confirmed #mikebrown was gunned to death for the crime of walking in the street? horrific.
unverified,what's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. #ferguson
unverified,in what world do you let a cop who killed someone leave town? URL #ferguson
unverified,to be clear: an unarmed teenager possibly stealing a box of cigars does not warrant being shot to death by the police. #ferguson
unverified,"#ferguson pd charged #henrydavis w/ ""destruction of property"" for bleeding on their uniforms: URL URL"
unverified,#ferguson police: officer involved in fatal shooting of michael brown didn't know he was suspect in alleged robbery. URL
unverified,report: #ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 URL
unverified,#ferguson chief let most of day go by b4 disclosing (after repeated qs) that cop who killed #mikebrown knew nothing about robbery. danger
unverified,"store owner told @fox2now monday that there was a theft, but said it was not michaelbrown; said it was someone else #ferguson"
unverified,"the press conf makes #ferguson pd look like they've gone from stonewalling to counter punching. we give up a name, we drag his thru the mud."
unverified,"remarkably, despite the military-style police presence in #ferguson, a known killer was able to skip town URL"
false,"the first general killed in a combat zone since vietnam, it is a travesty that obama did not attend major general harold greene’s funeral"
false,"78 were arrested overnight in ferguson, more than double the total reported by authorities URL URL"
false,a list of overnight arrests in ferguson shows a much higher number than officials reported URL URL
false,a list of overnight arrests in ferguson shows a much higher number than officials reported URL URL
false,list of overnight arrests in #ferguson much higher than officials reported URL URL via @fergusonunity
false,"78, not 31, arrested overnight in #ferguson. URL"
false,nbc: arrest records show #ferguson cops jailed twice as many people last night as they originally claimed. URL
true,#isis beheads photojournalist james wright foley in a massage to us to end its intervention in #iraq. URL
true,"please pray for steven sotloff, [another captive american] that #isis has threatened to behead. #tcot URL"
unverified,wapo: 'british examining [foley] video...to compare it with former guantanamo bay prisoners...believed to have joined the islamic state.'
unverified,"“key [foley beheading] suspect is abdel majed bary, 23, who left his $1m west london home last year….” URL"
unverified,suspect in beheading of journalist james foley named as 24 y/o abdel-majed abdel bary. URL
unverified,#breaking: suspect in beheading of journalist james foley named as 24 y/o abdel-majed abdel bary. URL via @israelbreaking
unverified,"looks so innocent without the hood. you would never think this london rapper, abdel-majed abdel bary, beheaded foley URL"
true,this audio tape played on #cnn seems to corroborate witness accounts that #darrenwilson kept shooting after #michaelbrown tried to surrender
true,@antoniofrench alleged new shooting audio of #michaelbrown / URL
true,"breaking: fbi uncovers new audio from neighbor on skype, lawyer counts 11 shots #mikebrown URL URL"
true,attorney: new audio reveals pause in gunfire when michael brown was shot. URL
true,"new audio recording reveals shots, pause, more shots at mike brown killing.more shots than 6 fired. URL"
true,cnn: new audio reveals 10 shots fired at michael brown. cluster of 6... a pause... and then 4 more URL
true,can new audio help the michael brown investigation? listen to what an attorney says could be key to the investigation URL
true,audio may have captured michael brown shooting URL
true,fbi probing alleged audio of michael brown shooting URL URL
false,nhl expansion to las vegas is reportedly 'a done deal.' URL URL
false,gonna be unreal when las vegas goes undefeated at home every year........ #nhl #expansion
false,looking forward to first matchup between las vegas nhl expansion team and a canadian team URL
false,"nhl expansion – four teams added by 2017, quebec city, toronto, seattle, and las vegas $1.4b in expansion fees"
false,waking up late for pre-game skate in vegas like... #nhl #expansion URL
false,report: #nhl expansion to las vegas ‘a done deal’ URL URL
false,"report: toronto, seattle, quebec city to join vegas in 2017 nhl expansion: URL"
false,"quebec city, seattle, and toronto to join las vegas in 2017 nhl expansion, number of nhl teams will be raised to 34. (howard bloom)"
false,#icebucketchallenge donations exceed $94 million. thank you for your support! URL
false,maybe tupac is alive and we're dead.
false,"still waiting for tupac to accept my als ice bucket challenge. bruh, i know you're still alive."
false,tupac was hiding for 18 years 😳 URL
false,"15 year old who ""swatted"" gamer convicted of domestic terrorism; 25 years to life in federal prison URL"
false,"15 year old ""swatter"" got 25 years URL"
false,"i'm alive, see you soon !"
false,cant believe tupac is still alive URL
false,"47 days after his plane was shot down over ukraine, #mh17 pilot laid to rest URL URL"
true,"breaking: tesla to choose nevada for gigafactory, sources tell cnbc. URL"
true,breaking: ap source: tesla motors has selected nevada as site for $5b electric car battery factory.
true,"more: tesla motors picks nevada as home of new electric car battery factory, beating 4 other states: URL"
true,#tesla reportedly selects nevada to build massive $5 billion battery plant URL via @foxcarreport URL
false,betty white is victim of death hoax after fans misread satirical story about 92-year-old's dye job URL
false,"no, internet, betty white is not dead URL (photo: getty) URL"
false,betty white never die she my lady still i never have the sex with her
false,if betty white dies today and steals joan's thunder i will unleash a reign of terror upon this nation the likes of which u have never seen!!
true,"al-shabaab leader ahmed abdi godane killed in monday's u.s. airstrike in somalia, pentagon says. URL"
true,"pentagon confirms ahmed abdi godane, a leader of the al shabaab islamist group, was killed in a u.s. airstrike: URL"
false,breaking news: durex has not come out with a pumpkin spice condom URL URL
false,#muslim arrested in #texas today with #isis flag on body armor URL
false,don't worry ppl #isis isn't a threat to homeland. man wearing body armor with isis flag on it arrested in #texas URL
false,"sorry, everyone—durex is not making pumpkin spice condoms this fall: URL URL"
false,calm yourselves- durex has not come out with a pumpkin spice condom URL URL
true,breaking: microsoft is near a deal to buy minecraft maker mojang URL
true,"huh. the wall street journal reports microsoft is close to a $2b deal with mojang, aka the creators of minecraft. URL"
true,"report: microsoft trying to buy mojang, creators of minecraft URL"
true,source: microsoft in discussions to buy 'minecraft' maker mojang for more than $2 billion - @wsj URL
true,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o"
true,microsoft is reportedly buying 'minecraft' developer mojang for $2 billion URL
true,microsoft to buy mojang - report URL $2 billion deal could be signed this week URL
true,microsoft to buy mojang for $2 billion - report. deal to be finalised as early as this week. URL URL
false,detroit niggas are savages they stole the batmobile. URL
unverified,us govt reportedly threatened to prosecute family of kidnapped journalist jim foley if it paid ransom URL h/t @acarvin
true,breaking news: isis beheads a british hostage david haines in message to america's partners. URL
true,david haines 'beheading': isis release video claiming to show execution of british hostage URL URL
true,islamic state video purports to show beheading of british hostage david haines; officials can't confirm- @dailymirror URL
true,a video has been released by isis apparently showing the murder of british hostage david haines: URL
true,just in: isis video claims to show beheading of british citizen URL
true,breaking: video claims to show beheading of british aid worker david haines by #isis.
true,uk aid worker david haines beheaded by #isis remember this great & giving man this way not as isis wants @acted URL
true,awful mt @scclemons:uk aid worker david haines beheaded by #isis remember this great man this way not as isis wants URL
true,update: uk prime minister david #cameron describes apparent beheading of david #haines as 'an act of pure evil' URL
unverified,life in obama's america: govt officials threaten to prosecute american families for trying to save their loved ones URL
false,three of five detainees swapped are now isis leaders: URL #talibanswap #tcot #ccot #usa #bowie URL
false,@legendgary #hitemup! bad boy c.e.o. @iamdiddy arrested in connection with murder of tupac shakur: ... URL @wethewest
false,'sean combs hoax: puff daddy arrested in tupac shakur murder totally fake; p diddy is ok' URL URL
true,starbucks is testing a new latte that tastes exactly like guinness: URL URL
true,starbucks is testing a new latte that tastes exactly like guinness URL
false,three of five detainees swapped are now isis leaders claims URL URL URL
true,"alaskan reporter says ""f*ck this,"" quits on live tv — her coworker's reaction is priceless: URL URL"
true,"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest: URL URL"
false,florida woman surgically adds third breast in bid to become reality tv star URL URL
false,florida woman surgically adds third breast in bid to become reality tv star URL via daily mail
false,"a florida woman had surgery to add a third breast to make herself ""unatttractive to men."" URL URL"
false,a florida woman had surgery to give herself a third boob: URL URL
true,breaking news: the 3 missing afghan soldiers have been found trying to cross into canada at the rainbow bridge in niagara falls. ny. nbc
true,"breaking: 3 missing afghan soldiers have been found trying to cross the border into canada, senior law enforcement source tells nbc news"
true,"reports: missing afghan soldiers found trying to cross into canada, source says -@wcvb, @7news, @nbcnews URL (fixes typo)"
true,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL
true,#breaking: missing afghan soldiers reportedly found near canadian border URL
true,"alaskan reporter says ""f*ck this,"" quits on live tv — her coworker's reaction is priceless: URL URL"
true,"well, this is one way to quit your job. watch alaskan reporter charlo green quit live on air. URL URL"
true,starbucks is experimenting with a beer-flavored latte that reportedly tastes like guinness URL
false,"florida woman pays $20,000 for third breast | URL URL"
true,"three missing afghan officers are in custody at the u.s.-canada border, police say. URL"
unverified,#hiphop #rap #news apple to shut down beats music streaming service: insiders at beats and apple sa... URL @djscrill
true,reporter charlo green quit on air to start a marijuana business URL will quitting on tv pay off? URL
true,police officers deliver the pie after pizza hut driver injured in crash URL URL
false,some iphone 6 plus owners accidentally bending their iphones in pockets URL by @kellyhodgkins
true,oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash: URL #odd
false,iphone 6 plus users are sitting on and bending their enormous new phones URL
true,portland cops complete delivery after pizza hut driver injured in crash URL URL
false,iphone 6 users report that their phones are bending in their pockets... lol. URL URL
false,iphone 6 owners claim it's bending in their pockets URL
